Date,Open,High,Low,Close,Adj Close,Volume
2000-07-11,110.0,120.0,95.0,95.75,95.75,4362150
2000-07-12,99.0,106.5,95.75,103.5,103.5,1135500
2000-07-13,105.5,109.75,100.0,102.0,102.0,521175
2000-07-14,103.25,103.5,95.75,100.75,100.75,273750
2000-07-17,107.5,107.5,95.5,96.5,96.5,316575
2000-07-18,97.5,102.0,92.25,101.0,101.0,536950
2000-07-19,100.5,100.75,93.0,96.0,96.0,349800
2000-07-20,97.0,101.5,90.5,92.5,92.5,330075
2000-07-21,91.5,91.75,76.0,77.25,77.25,672350
2000-07-24,80.5,81.0,66.0,67.5,67.5,635275
2000-07-25,69.0,74.5,68.75,74.0,74.0,484175
2000-07-26,72.5,79.5,71.0,74.0,74.0,324150
2000-07-27,71.5,72.5,65.25,66.25,66.25,373525
2000-07-28,68.5,68.75,57.0,61.5,61.5,515300
2000-07-31,61.5,78.5,59.5,74.0,74.0,500475
2000-08-01,74.25,74.25,65.0,66.5,66.5,246225
2000-08-02,64.25,69.0,64.0,66.0,66.0,194850
2000-08-03,62.0,66.75,60.0,64.5,64.5,232850
2000-08-04,67.5,68.0,63.0,65.5,65.5,204250
2000-08-07,71.0,73.0,65.25,67.0,67.0,510375
2000-08-08,67.75,68.0,62.0,62.25,62.25,235325
2000-08-09,64.5,64.75,59.5,60.75,60.75,233725
2000-08-10,61.25,61.5,57.25,59.25,59.25,256075
2000-08-11,57.5,59.0,55.0,58.0,58.0,303275
2000-08-14,59.5,62.75,57.5,61.75,61.75,391600
2000-08-15,62.375,72.5,61.5,71.75,71.75,761400
2000-08-16,74.0,77.0,69.5,71.0,71.0,306550
2000-08-17,70.0,75.0,69.75,74.25,74.25,240050
2000-08-18,76.5,76.5,71.5,73.5,73.5,211550
2000-08-21,75.25,75.75,70.5,75.75,75.75,179825
2000-08-22,76.5,79.0,75.5,77.25,77.25,203125
2000-08-23,74.5,77.0,73.0,75.0,75.0,83200
2000-08-24,73.0,79.75,72.75,79.75,79.75,192100
2000-08-25,79.25,81.75,77.5,77.5,77.5,87400
2000-08-28,76.625,77.5,73.25,74.5,74.5,63750
2000-08-29,74.5,77.75,74.0,76.5,76.5,141725
2000-08-30,76.25,77.0,73.0,73.25,73.25,96225
2000-08-31,73.0,74.5,72.0,72.25,72.25,117525
2000-09-01,72.75,75.0,72.5,74.0,74.0,85200
2000-09-05,75.0,75.0,71.0,71.5,71.5,115225
2000-09-06,71.75,72.0,67.25,67.5,67.5,128500
2000-09-07,67.5,76.0,67.0,74.75,74.75,109875
2000-09-08,74.0,74.5,69.5,69.5,69.5,81950
2000-09-11,68.5,71.0,65.0,67.0,67.0,136800
2000-09-12,66.625,68.0,63.5,63.75,63.75,63025
2000-09-13,63.25,64.5,62.5,63.0,63.0,138500
2000-09-14,63.75,67.25,63.75,65.5,65.5,83425
2000-09-15,65.5,66.0,61.0,62.0,62.0,92625
2000-09-18,63.75,65.75,60.0,60.0,60.0,81150
2000-09-19,61.25,62.25,59.25,59.75,59.75,138825
2000-09-20,60.0,60.25,56.0,56.75,56.75,268500
2000-09-21,56.5,57.0,51.0,51.5,51.5,212225
2000-09-22,46.5,50.0,44.75,47.75,47.75,391125
2000-09-25,50.5,54.5,48.25,49.25,49.25,151250
2000-09-26,50.0,50.5,45.5,46.5,46.5,88000
2000-09-27,50.25,51.0,46.0,47.75,47.75,63500
2000-09-28,48.25,48.25,46.25,47.0,47.0,126925
2000-09-29,47.0,47.75,45.0,47.5,47.5,82300
2000-10-02,48.0,48.0,43.5,44.75,44.75,112000
2000-10-03,47.0,47.0,40.75,42.75,42.75,130125
2000-10-04,41.25,44.0,41.0,44.0,44.0,117700
2000-10-05,43.75,44.5,39.375,39.5,39.5,272775
2000-10-06,39.25,40.25,34.75,36.5,36.5,205950
2000-10-09,36.0,36.0,33.5,34.25,34.25,174950
2000-10-10,34.875,35.0,30.25,30.5,30.5,350675
2000-10-11,29.875,34.0,28.75,32.0,32.0,335475
2000-10-12,33.875,36.0,32.0,34.25,34.25,227050
2000-10-13,34.125,41.5,32.5,40.5,40.5,231500
2000-10-16,44.0,48.0,40.0,41.5,41.5,259775
2000-10-17,43.25,43.5,33.5,35.0,35.0,325400
2000-10-18,32.375,37.375,32.0,35.25,35.25,205825
2000-10-19,37.75,40.0,35.0,38.0,38.0,213825
2000-10-20,37.5,43.5,37.0,43.0,43.0,300575
2000-10-23,42.75,46.0,42.0,43.25,43.25,182475
2000-10-24,44.0,44.5,40.0,40.75,40.75,102500
2000-10-25,39.0,40.5,37.0,39.0,39.0,83100
