Date,Open,High,Low,Close,Adj Close,Volume
1994-04-15,19.25,19.625,19.0,19.5,2.2330832481384277,549900
1994-04-18,19.625,19.625,19.25,19.25,2.2044546604156494,21100
1994-04-19,19.25,19.25,19.0,19.25,2.2044546604156494,47600
1994-04-20,19.0,19.125,19.0,19.125,2.190138816833496,11600
1994-04-21,19.125,19.125,19.0,19.0,2.1758244037628174,16300
1994-04-22,19.0,19.125,19.0,19.0,2.1758244037628174,13400
1994-04-25,19.0,19.125,19.0,19.125,2.190138816833496,21700
1994-04-26,19.0,19.125,19.0,19.0,2.1758244037628174,22500
1994-04-28,19.125,19.125,19.0,19.0,2.1758244037628174,15300
1994-04-29,19.0,19.125,19.0,19.0,2.1758244037628174,15300
1994-05-02,19.0,19.125,19.0,19.0,2.1758244037628174,12900
1994-05-03,19.125,19.125,19.0,19.0,2.1758244037628174,42800
1994-05-04,19.125,19.125,19.0,19.0,2.1758244037628174,6400
1994-05-05,19.0,19.125,19.0,19.125,2.190138816833496,13900
1994-05-06,19.0,19.125,19.0,19.0,2.1758244037628174,56200
1994-05-09,19.0,19.0,18.5,18.875,2.1615097522735596,53100
1994-05-10,18.875,18.875,18.75,18.75,2.147195816040039,1100
1994-05-11,18.75,18.75,18.75,18.75,2.147195816040039,1000
1994-05-12,18.5,18.625,18.125,18.125,2.075622797012329,4300
1994-05-13,18.0,18.0,17.125,17.75,2.03267765045166,61400
1994-05-16,17.875,18.5,17.875,18.0,2.061306953430176,11400
1994-05-17,18.25,18.375,18.0,18.25,2.0899367332458496,5200
1994-05-18,18.25,18.5,18.25,18.5,2.1185660362243652,3900
1994-05-19,18.5,18.5,18.375,18.375,2.1042511463165283,4900
1994-05-20,18.25,18.5,18.0,18.5,2.1185660362243652,16600
1994-05-23,18.5,18.5,18.25,18.5,2.1185660362243652,2400
1994-05-24,18.25,18.375,18.0,18.125,2.075622797012329,5300
1994-05-25,18.125,18.375,18.0,18.0,2.061306953430176,4800
