Date,Open,High,Low,Close,Adj Close,Volume
1996-05-15,4.375,4.5,4.3125,4.5,3.4621758460998535,1799200
1996-05-16,4.5,4.625,4.5,4.625,3.5583488941192627,460400
1996-05-17,4.6875,4.75,4.6875,4.75,3.654520273208618,428400
1996-05-20,4.75,4.75,4.71875,4.75,3.654520273208618,907200
1996-05-21,4.75,4.75,4.71875,4.71875,3.630476713180542,144800
1996-05-22,4.75,4.75,4.71875,4.75,3.654520273208618,59200
1996-05-23,4.78125,4.78125,4.625,4.625,3.5583488941192627,94800
1996-05-24,4.625,4.65625,4.59375,4.59375,3.534304618835449,262000
1996-05-28,4.625,4.71875,4.625,4.71875,3.630476713180542,252000
1996-05-29,4.8125,4.8125,4.75,4.75,3.654520273208618,472000
1996-05-30,4.8125,4.8125,4.8125,4.8125,3.7026054859161377,60400
1996-05-31,4.8125,4.875,4.8125,4.875,3.75069260597229,72000
1996-06-03,4.875,4.90625,4.875,4.875,3.75069260597229,67200
1996-06-04,4.875,4.875,4.75,4.78125,3.6785624027252197,231600
1996-06-05,4.75,4.75,4.75,4.75,3.654520273208618,230000
1996-06-06,4.625,4.6875,4.625,4.6875,3.6064345836639404,201200
1996-06-07,4.65625,4.65625,4.65625,4.65625,3.5823910236358643,5200
1996-06-10,4.6875,4.71875,4.6875,4.6875,3.6064345836639404,362000
1996-06-11,4.6875,4.6875,4.625,4.625,3.5583488941192627,144000
1996-06-12,4.625,4.65625,4.625,4.65625,3.5823910236358643,64000
1996-06-13,4.65625,4.65625,4.65625,4.65625,3.5823910236358643,2400
1996-06-14,4.65625,4.65625,4.65625,4.65625,3.5823910236358643,0
1996-06-17,4.6875,4.6875,4.65625,4.65625,3.5823910236358643,68000
1996-06-18,4.65625,4.65625,4.65625,4.65625,3.5823910236358643,32000
1996-06-19,4.65625,4.65625,4.65625,4.65625,3.5823910236358643,400
1996-06-20,4.6875,4.75,4.6875,4.75,3.654520273208618,93200
1996-06-21,4.8125,4.8125,4.8125,4.8125,3.7026054859161377,85200
1996-06-24,4.8125,4.875,4.8125,4.8125,3.7026054859161377,327600
1996-06-25,4.8125,4.875,4.8125,4.875,3.75069260597229,638000
1996-06-26,4.9375,5.125,4.9375,5.09375,3.9189915657043457,408000
1996-06-27,5.0625,5.0625,4.9375,5.0,3.846863031387329,233600
1996-06-28,4.96875,5.0,4.9375,4.96875,3.8228189945220947,179200
1996-07-01,4.875,4.875,4.875,4.875,3.75069260597229,108400
1996-07-02,4.8125,4.8125,4.78125,4.78125,3.6785624027252197,72800
1996-07-03,4.8125,4.8125,4.8125,4.8125,3.7026054859161377,20000
1996-07-05,4.78125,4.78125,4.75,4.75,3.654520273208618,20400
1996-07-08,4.75,4.75,4.75,4.75,3.654520273208618,12800
1996-07-09,4.75,4.75,4.75,4.75,3.654520273208618,154800
1996-07-10,4.75,4.75,4.75,4.75,3.654520273208618,5200
1996-07-11,4.75,4.78125,4.75,4.78125,3.6785624027252197,214800
1996-07-12,4.8125,4.8125,4.75,4.75,3.654520273208618,86000
1996-07-15,4.75,4.75,4.75,4.75,3.654520273208618,0
1996-07-16,4.6875,4.6875,4.65625,4.65625,3.5823910236358643,16800
1996-07-17,4.625,4.625,4.625,4.625,3.5583488941192627,6400
1996-07-18,4.59375,4.65625,4.59375,4.625,3.5583488941192627,89600
1996-07-19,4.65625,4.65625,4.625,4.625,3.5583488941192627,102000
1996-07-22,4.625,4.625,4.625,4.625,3.5583488941192627,0
1996-07-23,4.65625,4.65625,4.65625,4.65625,3.5823910236358643,100000
1996-07-24,4.65625,4.65625,4.59375,4.625,3.5583488941192627,136400
1996-07-25,4.59375,4.625,4.5625,4.5625,3.510263204574585,21600
1996-07-26,4.5625,4.5625,4.5625,4.5625,3.510263204574585,30800
1996-07-29,4.59375,4.59375,4.59375,4.59375,3.534304618835449,4000
1996-07-30,4.5625,4.5625,4.5625,4.5625,3.510263204574585,2000
1996-07-31,4.5,4.5,4.46875,4.46875,3.4381327629089355,9600
1996-08-01,4.4375,4.46875,4.4375,4.46875,3.4381327629089355,285200
1996-08-02,4.46875,4.5625,4.46875,4.53125,3.486219644546509,190400
1996-08-05,4.59375,4.65625,4.59375,4.65625,3.5823910236358643,125200
1996-08-06,4.625,4.625,4.625,4.625,3.5583488941192627,2800
1996-08-07,4.6875,4.6875,4.6875,4.6875,3.6064345836639404,12000
1996-08-08,4.6875,4.75,4.6875,4.75,3.654520273208618,61200
1996-08-09,4.75,4.75,4.71875,4.71875,3.630476713180542,41200
1996-08-12,4.6875,4.6875,4.625,4.6875,3.6064345836639404,12000
1996-08-13,4.625,4.625,4.625,4.625,3.5583488941192627,16000
1996-08-14,4.625,4.625,4.625,4.625,3.5583488941192627,10400
1996-08-15,4.6875,4.6875,4.625,4.625,3.5583488941192627,14400
1996-08-16,4.6875,4.6875,4.625,4.625,3.5583488941192627,21600
1996-08-19,4.625,4.625,4.625,4.625,3.5583488941192627,20000
1996-08-20,4.6875,4.71875,4.6875,4.71875,3.630476713180542,109200
1996-08-21,4.71875,4.71875,4.6875,4.6875,3.6064345836639404,14000
1996-08-22,4.6875,4.6875,4.6875,4.6875,3.6064345836639404,0
1996-08-23,4.71875,4.75,4.71875,4.75,3.654520273208618,34000
1996-08-26,4.75,4.75,4.75,4.75,3.654520273208618,0
1996-08-27,4.71875,4.71875,4.71875,4.71875,3.630476713180542,16800
1996-08-28,4.71875,4.75,4.71875,4.71875,3.630476713180542,12000
1996-08-29,4.75,4.75,4.75,4.75,3.654520273208618,400
1996-08-30,4.75,4.75,4.75,4.75,3.654520273208618,0
1996-09-03,4.71875,4.71875,4.71875,4.71875,3.630476713180542,204400
1996-09-04,4.6875,4.75,4.6875,4.6875,3.6064345836639404,376800
1996-09-05,4.6875,4.71875,4.6875,4.6875,3.6064345836639404,24000
1996-09-06,4.6875,4.71875,4.6875,4.71875,3.630476713180542,120800
1996-09-09,4.6875,4.75,4.6875,4.71875,3.630476713180542,102000
1996-09-10,4.6875,4.6875,4.625,4.625,3.5583488941192627,30000
1996-09-11,4.65625,4.71875,4.65625,4.71875,3.630476713180542,73600
1996-09-12,4.78125,5.0,4.78125,4.84375,3.7266483306884766,169200
1996-09-13,4.875,4.875,4.84375,4.875,3.75069260597229,302400
1996-09-16,4.875,4.875,4.84375,4.84375,3.7266483306884766,214000
1996-09-17,4.875,4.875,4.84375,4.875,3.75069260597229,208000
1996-09-18,4.875,4.875,4.84375,4.875,3.75069260597229,128000
1996-09-19,4.875,4.875,4.84375,4.84375,3.7266483306884766,85200
1996-09-20,4.84375,4.84375,4.84375,4.84375,3.7266483306884766,0
1996-09-23,4.875,4.875,4.875,4.875,3.75069260597229,12800
1996-09-24,4.90625,4.90625,4.90625,4.90625,3.7747342586517334,116800
1996-09-25,4.9375,4.9375,4.84375,4.84375,3.7266483306884766,312400
1996-09-26,4.84375,4.84375,4.8125,4.8125,3.7026054859161377,216000
1996-09-27,4.8125,4.8125,4.8125,4.8125,3.7026054859161377,16400
1996-09-30,4.8125,4.8125,4.8125,4.8125,3.7026054859161377,0
1996-10-01,4.75,4.75,4.75,4.75,3.654520273208618,385600
1996-10-02,4.6875,4.71875,4.6875,4.71875,3.630476713180542,23200
1996-10-03,4.71875,4.71875,4.71875,4.71875,3.630476713180542,12400
1996-10-04,4.65625,4.71875,4.65625,4.6875,3.6064345836639404,32400
1996-10-07,4.625,4.65625,4.625,4.625,3.5583488941192627,133200
1996-10-08,4.625,4.625,4.53125,4.5625,3.510263204574585,98800
1996-10-09,4.5625,4.5625,4.53125,4.53125,3.486219644546509,158000
1996-10-10,4.53125,4.53125,4.53125,4.53125,3.486219644546509,0
1996-10-11,4.5,4.5,4.46875,4.46875,3.4381327629089355,72000
1996-10-14,4.46875,4.46875,4.46875,4.46875,3.4381327629089355,23200
1996-10-15,4.46875,4.46875,4.46875,4.46875,3.4381327629089355,18400
1996-10-16,4.5,4.5,4.125,4.125,3.173661231994629,738000
1996-10-17,4.15625,4.3125,4.15625,4.28125,3.293877124786377,1695600
1996-10-18,4.28125,4.3125,4.28125,4.28125,3.293877124786377,167200
1996-10-21,4.3125,4.3125,4.28125,4.28125,3.293877124786377,202800
1996-10-22,4.25,4.25,4.25,4.25,3.269833564758301,13600
1996-10-23,4.25,4.34375,4.25,4.3125,3.3179190158843994,283200
1996-10-24,4.25,4.28125,4.25,4.28125,3.293877124786377,39200
1996-10-25,4.21875,4.25,4.21875,4.21875,3.2457897663116455,98000
1996-10-28,4.28125,4.28125,4.21875,4.25,3.269833564758301,102000
1996-10-29,4.25,4.25,4.25,4.25,3.269833564758301,10800
1996-10-30,4.1875,4.1875,4.125,4.125,3.173661231994629,25200
1996-10-31,4.1875,4.1875,4.15625,4.1875,3.2217469215393066,89200
1996-11-01,4.15625,4.15625,4.15625,4.15625,3.197704792022705,97200
1996-11-04,4.1875,4.1875,4.1875,4.1875,3.2217469215393066,21600
1996-11-05,4.1875,4.1875,4.1875,4.1875,3.2217469215393066,0
1996-11-06,4.1875,4.1875,4.15625,4.15625,3.197704792022705,236000
1996-11-07,4.09375,4.09375,4.09375,4.09375,3.1496191024780273,30000
1996-11-08,4.0625,4.0625,4.0625,4.0625,3.1255760192871094,164000
1996-11-11,4.03125,4.0625,4.0,4.03125,3.1015326976776123,278000
1996-11-12,4.0,4.03125,4.0,4.03125,3.1015326976776123,56400
1996-11-13,4.03125,4.09375,4.03125,4.09375,3.1496191024780273,282000
1996-11-14,4.0625,4.09375,4.0,4.0,3.07749080657959,160400
1996-11-15,4.03125,4.03125,4.0,4.0,3.07749080657959,78800
1996-11-18,4.03125,4.0625,4.0,4.0,3.07749080657959,100800
1996-11-19,4.0,4.0,3.96875,3.96875,3.0534472465515137,30000
1996-11-20,4.0,4.0,3.96875,4.0,3.07749080657959,107200
1996-11-21,4.0,4.03125,4.0,4.03125,3.1015326976776123,307600
1996-11-22,4.03125,4.03125,4.03125,4.03125,3.1015326976776123,152800
1996-11-25,4.0625,4.125,4.0625,4.09375,3.1496191024780273,274400
1996-11-26,4.0625,4.09375,4.0625,4.09375,3.1496191024780273,164000
1996-11-27,4.125,4.125,4.125,4.125,3.173661231994629,2000
1996-11-29,4.125,4.125,4.09375,4.09375,3.1496191024780273,121200
1996-12-02,4.09375,4.125,4.09375,4.09375,3.1496191024780273,92400
1996-12-03,4.09375,4.09375,4.09375,4.09375,3.1496191024780273,22000
1996-12-04,4.0625,4.09375,4.0625,4.0625,3.1255760192871094,71200
1996-12-05,4.09375,4.09375,4.09375,4.09375,3.1496191024780273,124000
1996-12-06,4.0625,4.09375,4.03125,4.0625,3.137455463409424,148000
1996-12-09,4.0625,4.09375,4.0625,4.09375,3.1615898609161377,20800
1996-12-10,4.09375,4.09375,4.0625,4.0625,3.137455463409424,174000
1996-12-11,4.09375,4.15625,4.09375,4.125,3.185723304748535,33200
1996-12-12,4.09375,4.125,4.09375,4.125,3.185723304748535,42400
1996-12-13,4.0625,4.09375,4.03125,4.03125,3.1133203506469727,184000
1996-12-16,4.0,4.0,4.0,4.0,3.0891871452331543,61200
1996-12-17,4.0,4.0,3.9375,3.9375,3.0409185886383057,394000
1996-12-18,3.875,3.875,3.8125,3.84375,2.9685146808624268,231200
1996-12-19,3.84375,3.84375,3.8125,3.8125,2.94438099861145,94800
1996-12-20,3.8125,4.0625,3.8125,4.0625,3.137455463409424,239200
1996-12-23,4.0625,4.0625,4.0625,4.0625,3.137455463409424,42800
1996-12-24,4.125,4.15625,4.09375,4.15625,3.209857940673828,14800
1996-12-26,4.21875,4.3125,4.21875,4.25,3.2822611331939697,124000
1996-12-27,4.25,4.28125,4.25,4.28125,3.306396007537842,77200
1996-12-30,4.28125,4.28125,4.28125,4.28125,3.306396007537842,116800
1996-12-31,4.28125,4.28125,4.28125,4.28125,3.306396007537842,0
1997-01-02,4.3125,4.3125,4.3125,4.3125,3.330528974533081,49600
