Date,Open,High,Low,Close,Adj Close,Volume
1990-08-17,1.75,1.875,1.75,1.8125,1.5916959047317505,17904800
1990-08-20,1.8125,1.90625,1.78125,1.875,1.6465816497802734,2821600
1990-08-21,1.84375,1.9375,1.8125,1.890625,1.6603035926818848,5016000
1990-08-22,1.96875,2.03125,1.875,1.96875,1.72891104221344,642400
1990-08-23,2.0,2.0,1.84375,1.875,1.6465816497802734,2606400
1990-08-24,1.96875,1.96875,1.84375,1.90625,1.6740248203277588,767200
1990-08-27,1.96875,2.0625,1.90625,2.046875,1.7975184917449951,531200
1990-08-28,2.0625,2.0625,1.96875,2.015625,1.7700753211975098,600800
1990-08-29,2.03125,2.0625,1.96875,1.96875,1.72891104221344,464800
1990-08-30,1.96875,2.015625,1.9375,2.015625,1.7700753211975098,268000
1990-08-31,1.9375,2.03125,1.9375,1.96875,1.72891104221344,720800
1990-09-04,2.03125,2.03125,1.9375,1.9375,1.701467752456665,196800
1990-09-05,1.96875,2.0,1.96875,1.96875,1.72891104221344,9600
1990-09-06,1.96875,2.09375,1.96875,2.03125,1.7837964296340942,916000
1990-09-07,2.03125,2.03125,2.0,2.015625,1.7700753211975098,164000
1990-09-10,2.0,2.03125,2.0,2.03125,1.7837964296340942,365600
1990-09-11,2.03125,2.03125,1.96875,2.0,1.756353735923767,113600
1990-09-12,2.03125,2.03125,1.96875,1.96875,1.72891104221344,225600
1990-09-13,1.96875,2.015625,1.90625,1.90625,1.6740248203277588,1839200
1990-09-14,1.90625,1.96875,1.90625,1.90625,1.6740248203277588,372000
1990-09-17,1.9375,1.9375,1.90625,1.9375,1.701467752456665,590400
1990-09-18,1.90625,1.90625,1.90625,1.90625,1.6740248203277588,5600
1990-09-19,1.9375,2.0,1.90625,1.9375,1.701467752456665,165600
1990-09-20,1.9375,2.0,1.9375,1.96875,1.72891104221344,536800
1990-09-21,1.9375,2.03125,1.9375,2.03125,1.7837964296340942,580000
1990-09-24,2.0,2.0,1.9375,1.9375,1.701467752456665,673600
1990-09-25,1.96875,2.0,1.9375,1.953125,1.7151890993118286,1116000
1990-09-26,1.9375,2.0,1.9375,1.9375,1.701467752456665,509600
1990-09-27,1.9375,1.953125,1.90625,1.953125,1.7151890993118286,1263200
1990-09-28,1.9375,1.9375,1.90625,1.90625,1.6740248203277588,1484000
1990-10-01,1.875,1.90625,1.875,1.90625,1.6740248203277588,38400
1990-10-02,2.0,2.125,2.0,2.109375,1.8524038791656494,1228000
1990-10-03,2.125,2.125,2.03125,2.078125,1.82496178150177,609600
1990-10-04,2.03125,2.09375,2.0,2.03125,1.7837964296340942,226400
1990-10-05,1.96875,2.03125,1.96875,2.0,1.756353735923767,186400
1990-10-08,2.03125,2.03125,1.96875,2.03125,1.7837964296340942,48800
1990-10-09,2.0,2.0,2.0,2.0,1.756353735923767,110400
1990-10-10,2.0625,2.0625,1.96875,1.96875,1.72891104221344,25600
1990-10-11,1.96875,2.0,1.96875,2.0,1.756353735923767,40000
1990-10-12,1.96875,2.0,1.96875,1.96875,1.72891104221344,74400
1990-10-15,1.96875,2.0,1.9375,1.9375,1.701467752456665,81600
1990-10-16,1.9375,1.953125,1.9375,1.953125,1.7151890993118286,145600
1990-10-17,1.90625,1.9375,1.84375,1.875,1.6465816497802734,52800
1990-10-18,1.84375,1.96875,1.84375,1.96875,1.72891104221344,184800
1990-10-19,1.96875,2.0,1.875,1.9375,1.701467752456665,223200
1990-10-22,2.03125,2.25,2.0,2.21875,1.9484554529190063,244000
1990-10-23,2.1875,2.25,2.1875,2.1875,1.9210113286972046,248800
1990-10-24,2.1875,2.21875,2.1875,2.1875,1.9210113286972046,15200
1990-10-25,2.21875,2.34375,2.21875,2.28125,2.0033414363861084,1026400
1990-10-26,2.28125,2.28125,2.21875,2.21875,1.9484554529190063,517600
1990-10-29,2.21875,2.234375,2.140625,2.15625,1.8935681581497192,129600
1990-10-30,2.125,2.125,2.0625,2.125,1.866125464439392,65600
1990-10-31,2.09375,2.21875,2.09375,2.21875,1.9484554529190063,84800
1990-11-01,2.15625,2.25,2.15625,2.25,1.9758983850479126,228800
1990-11-02,2.1875,2.1875,2.1875,2.1875,1.9210113286972046,8000
1990-11-05,2.25,2.25,2.15625,2.15625,1.8935681581497192,296000
1990-11-06,2.09375,2.1875,2.09375,2.09375,1.8386825323104858,35200
1990-11-07,2.09375,2.09375,2.09375,2.09375,1.8386825323104858,11200
1990-11-08,2.09375,2.09375,1.9375,1.9375,1.701467752456665,162400
1990-11-09,1.96875,2.0625,1.96875,2.015625,1.7700753211975098,188000
1990-11-12,2.0,2.21875,2.0,2.21875,1.9484554529190063,572000
1990-11-13,2.21875,2.25,2.15625,2.1875,1.9210113286972046,460800
1990-11-14,2.15625,2.21875,2.15625,2.1875,1.9210113286972046,72000
1990-11-15,2.1875,2.25,2.15625,2.25,1.9758983850479126,313600
1990-11-16,2.1875,2.25,2.1875,2.1875,1.9210113286972046,239200
1990-11-19,2.125,2.125,1.875,2.0,1.756353735923767,617600
