Date,Open,High,Low,Close,Adj Close,Volume
1997-04-04,8.75,8.75,8.25,8.40625,7.017338275909424,2463800
1997-04-07,8.5,8.75,8.375,8.5,7.095600128173828,480400
1997-04-08,8.625,8.625,8.1875,8.25,6.886903762817383,445400
1997-04-09,8.25,8.3125,8.125,8.125,6.782558441162109,263000
1997-04-10,8.25,8.25,8.0625,8.1875,6.83473014831543,121600
1997-04-11,8.0625,8.25,8.0625,8.09375,6.756472110748291,149800
1997-04-14,8.25,8.25,7.875,7.9375,6.626036167144775,180000
1997-04-15,8.0,8.5625,7.875,8.5625,7.14777135848999,144400
1997-04-16,8.625,9.0,8.375,8.6875,7.252119064331055,206000
1997-04-17,8.875,8.875,8.625,8.875,7.408638954162598,40200
1997-04-18,8.625,8.875,8.5625,8.625,7.199945449829102,64400
1997-04-21,8.625,9.375,8.625,9.125,7.617333889007568,101200
1997-04-22,9.25,9.75,9.0,9.5,7.93037748336792,114200
1997-04-23,9.75,10.0,9.5,10.0,8.347762107849121,177200
1997-04-24,10.0,10.8125,10.0,10.5,8.76514720916748,313600
1997-04-25,10.75,10.875,10.125,10.125,8.452109336853027,146000
1997-04-28,10.0,10.375,9.25,9.5,7.93037748336792,293600
1997-04-29,9.875,9.875,9.0,9.0,7.512986660003662,157800
1997-04-30,9.8125,10.5625,9.625,10.5,8.76514720916748,438200
1997-05-01,10.5,10.75,9.875,10.375,8.66080379486084,148400
1997-05-02,10.375,10.375,9.875,9.875,8.243416786193848,59400
1997-05-05,10.125,10.25,9.875,10.25,8.556455612182617,39000
1997-05-06,10.0,10.375,10.0,10.0,8.347762107849121,89400
1997-05-07,10.25,10.25,10.125,10.1875,8.504284858703613,30600
1997-05-08,10.0,10.25,10.0,10.0625,8.399938583374023,29000
1997-05-09,10.1875,10.25,10.0625,10.25,8.556455612182617,20200
1997-05-12,10.375,10.375,10.125,10.25,8.556455612182617,20800
1997-05-13,10.25,10.875,10.25,10.5,8.76514720916748,109000
1997-05-14,10.625,11.125,10.5625,10.875,9.078192710876465,172400
1997-05-15,11.125,12.125,10.875,11.75,9.808621406555176,88200
1997-05-16,11.75,11.875,11.375,11.625,9.704276084899902,101200
1997-05-19,11.625,11.625,11.375,11.5,9.599926948547363,20200
1997-05-20,11.625,11.625,11.0,11.25,9.39123821258545,34800
1997-05-21,11.375,11.375,11.0,11.0,9.182539939880371,22000
1997-05-22,11.375,12.125,11.0,11.875,9.912970542907715,90800
1997-05-23,11.875,12.0625,11.875,12.0,10.017314910888672,28000
1997-05-27,11.875,12.0625,11.875,11.875,9.912970542907715,73200
1997-05-28,11.875,12.0,11.625,11.75,9.808621406555176,64800
1997-05-29,11.625,12.25,11.625,11.875,9.912970542907715,67400
1997-05-30,11.875,12.25,11.625,12.25,10.226007461547852,44000
1997-06-02,12.25,12.875,12.25,12.5,10.434701919555664,185600
1997-06-03,12.75,12.75,12.0,12.0,10.017314910888672,131200
1997-06-04,12.5,12.6875,12.0,12.5,10.434701919555664,197200
1997-06-05,12.75,13.3125,12.5,13.0,10.852088928222656,161400
1997-06-06,12.875,13.125,12.875,13.0,10.852088928222656,19000
1997-06-09,13.125,13.125,12.625,12.75,10.64339542388916,41600
1997-06-10,12.625,12.625,12.125,12.1875,10.17383861541748,148000
1997-06-11,12.5625,12.5625,11.875,11.875,9.912970542907715,27400
1997-06-12,12.125,12.375,12.0,12.0,10.017314910888672,73000
1997-06-13,12.375,12.5,12.0,12.3125,10.278183937072754,33800
1997-06-16,12.3125,12.6875,12.3125,12.6875,10.591225624084473,20200
1997-06-17,12.375,12.8125,12.375,12.75,10.64339542388916,75000
1997-06-18,12.5625,12.8125,12.5625,12.75,10.64339542388916,30200
1997-06-19,12.8125,13.25,12.6875,12.875,10.747743606567383,20400
1997-06-20,12.875,13.25,12.75,13.0625,10.904266357421875,18800
1997-06-23,12.75,13.125,12.5,12.875,10.747743606567383,34800
1997-06-24,12.875,12.875,12.5,12.75,10.64339542388916,10200
1997-06-25,12.875,12.875,12.5,12.75,10.64339542388916,51400
1997-06-26,12.625,12.875,12.5,12.5,10.434701919555664,15200
1997-06-27,12.5,12.5,12.375,12.375,10.330355644226074,9800
1997-06-30,12.25,12.8125,12.25,12.8125,10.695574760437012,17400
1997-07-01,12.8125,12.875,12.5,12.875,10.747743606567383,50800
1997-07-02,12.625,13.25,12.5,13.25,11.060785293579102,49400
1997-07-03,13.5,13.75,13.125,13.625,11.373824119567871,28200
1997-07-07,14.875,14.875,14.5,14.6875,12.260775566101074,380200
1997-07-08,14.75,15.0,14.5,14.875,12.417296409606934,137800
1997-07-09,14.875,15.1875,14.75,15.1875,12.6781644821167,160200
1997-07-10,15.0,15.25,15.0,15.0,12.521646499633789,35400
1997-07-11,15.0,15.25,14.75,14.875,12.417296409606934,76400
1997-07-14,15.125,15.125,14.9375,15.0,12.521646499633789,119000
1997-07-15,15.0625,15.125,14.875,15.125,12.625991821289062,137800
1997-07-16,15.0,15.25,15.0,15.0,12.521646499633789,65200
1997-07-17,15.125,15.125,14.9375,14.9375,12.469468116760254,40800
1997-07-18,14.9375,15.0625,14.9375,14.9375,12.469468116760254,141400
1997-07-21,14.9375,15.25,14.9375,15.0,12.521646499633789,99000
1997-07-22,15.0,15.4375,14.9375,15.4375,12.886858940124512,34000
1997-07-23,15.375,17.25,15.0,16.875,14.086851119995117,143000
1997-07-24,17.1875,17.375,16.25,16.875,14.086851119995117,135600
1997-07-25,17.25,17.625,16.75,17.625,14.712929725646973,43800
1997-07-28,17.75,17.875,17.25,17.875,14.92162799835205,58000
1997-07-29,17.75,17.75,17.4375,17.5,14.608586311340332,119600
1997-07-30,17.4375,17.75,17.4375,17.625,14.712929725646973,58200
1997-07-31,17.75,17.75,17.5,17.75,14.817277908325195,11000
1997-08-01,17.625,17.75,17.375,17.75,14.817277908325195,94200
1997-08-04,17.5,17.875,17.5,17.75,14.817277908325195,38400
1997-08-05,17.75,17.75,17.5,17.625,14.712929725646973,23600
1997-08-06,17.5,17.5625,17.125,17.125,14.29554271697998,27800
1997-08-07,17.375,17.375,16.0,16.5,13.773807525634766,191400
1997-08-08,16.25,17.0,16.125,16.625,13.878155708312988,228000
1997-08-11,17.0,17.0,16.625,16.75,13.982503890991211,111000
1997-08-12,16.875,16.875,16.75,16.75,13.982503890991211,49800
1997-08-13,16.625,16.75,16.625,16.625,13.878155708312988,11600
1997-08-14,16.5,16.5,15.5,15.75,13.147729873657227,86200
1997-08-15,15.6875,16.0,15.625,15.875,13.25207233428955,5800
1997-08-18,15.625,15.875,14.9375,15.4375,12.886858940124512,561800
1997-08-19,15.625,16.5,15.375,16.375,13.66946029663086,206000
1997-08-20,16.4375,17.0,16.4375,17.0,14.191200256347656,25800
1997-08-21,17.25,17.375,17.0,17.0,14.191200256347656,19600
1997-08-22,16.375,17.0,16.375,16.625,13.878155708312988,9200
1997-08-25,17.0,17.75,16.8125,17.5,14.608586311340332,203400
1997-08-26,17.625,17.75,17.25,17.625,14.712929725646973,25600
1997-08-27,18.0,19.375,18.0,19.25,16.069438934326172,64400
1997-08-28,19.25,20.25,19.0,20.0,16.695524215698242,83200
1997-08-29,19.625,20.625,19.625,20.25,16.904218673706055,73400
1997-09-02,20.3125,21.375,20.25,20.5,17.112911224365234,46800
1997-09-03,20.75,21.4375,20.625,21.375,17.84334373474121,142800
1997-09-04,21.4375,21.4375,20.875,20.875,17.425952911376953,39600
1997-09-05,20.75,21.0625,20.75,21.0625,17.582475662231445,10000
1997-09-08,21.0,21.0,20.75,20.75,17.32160758972168,30800
1997-09-09,20.5,20.6875,20.375,20.40625,17.03465461730957,32800
1997-09-10,20.375,22.25,20.375,21.625,18.052038192749023,76000
1997-09-11,22.0,23.5,22.0,22.875,19.09550666809082,49400
1997-09-12,22.875,24.375,22.875,23.5625,19.66942024230957,63000
1997-09-15,23.875,25.125,23.625,24.8125,20.7128849029541,42400
1997-09-16,24.8125,25.125,24.5,25.125,20.973756790161133,85200
1997-09-17,25.25,25.25,24.84375,25.0,20.869403839111328,31600
1997-09-18,25.125,25.125,24.25,24.5,20.452014923095703,57400
1997-09-19,24.5,24.5,22.875,23.75,19.82594108581543,148000
1997-09-22,23.625,25.125,23.625,25.0,20.869403839111328,113400
1997-09-23,24.875,25.375,24.875,25.0,20.869403839111328,172200
1997-09-24,25.0,25.1875,24.5625,24.5625,20.504194259643555,59800
1997-09-25,24.5625,24.75,24.5625,24.625,20.556367874145508,24000
1997-09-26,24.75,24.875,24.625,24.625,20.556367874145508,11600
1997-09-29,24.875,25.25,24.625,25.25,21.078105926513672,9800
1997-09-30,25.5,25.5,25.0,25.0,20.869403839111328,9200
1997-10-01,25.25,25.25,23.75,25.0,20.869403839111328,73600
1997-10-02,24.625,25.75,24.625,25.5,21.28679084777832,110000
1997-10-03,25.75,28.0,25.5,27.75,23.165040969848633,58400
1997-10-06,27.625,31.5,27.0,30.75,25.669370651245117,199600
1997-10-07,31.5,34.75,31.3125,32.8125,27.391101837158203,424400
1997-10-08,34.0,35.0,32.5,34.375,28.6954288482666,500600
1997-10-09,34.5,34.75,32.5625,34.25,28.59108543395996,143600
1997-10-10,34.25,36.8125,33.6875,36.75,30.67802619934082,348600
1997-10-13,37.5,39.5,36.5,37.75,31.512794494628906,529800
1997-10-14,38.0,38.0,31.875,34.875,29.11282730102539,445200
1997-10-15,33.5,34.875,31.0,33.25,27.756311416625977,225800
1997-10-16,33.0,34.5,31.0625,31.0625,25.930234909057617,132200
1997-10-17,30.75,31.75,26.5625,28.25,23.582433700561523,313600
1997-10-20,28.375,32.5,28.375,32.125,26.817195892333984,243000
1997-10-21,33.625,35.25,32.75,34.875,29.11282730102539,351800
1997-10-22,35.75,35.875,33.125,34.9375,29.164993286132812,160800
1997-10-23,31.9375,35.0,30.125,33.1875,27.704133987426758,392400
1997-10-24,34.0,34.5,32.3125,32.75,27.33892059326172,327000
1997-10-27,31.25,31.9375,27.25,29.0,24.208505630493164,261400
1997-10-28,24.0,32.4375,24.0,31.375,26.19110870361328,553600
1997-10-29,34.5,35.0,32.0,34.0,28.382400512695312,264200
1997-10-30,32.375,34.5,31.0,31.75,26.5041446685791,138400
