Date,Open,High,Low,Close,Adj Close,Volume
1987-08-26,0.0,590.0,560.0,580.0,580.0,13834
1987-08-27,580.0,590.0,580.0,590.0,590.0,2005
1987-08-28,590.0,600.0,580.0,580.0,580.0,916
1987-08-31,580.0,650.0,580.0,630.0,630.0,1015
1987-09-01,630.0,640.0,610.0,610.0,610.0,456
1987-09-02,610.0,630.0,600.0,620.0,620.0,198
1987-09-03,620.0,620.0,600.0,600.0,600.0,933
1987-09-04,600.0,620.0,600.0,600.0,600.0,1571
1987-09-08,610.0,630.0,610.0,610.0,610.0,1314
1987-09-09,610.0,670.0,610.0,670.0,670.0,1190
1987-09-10,670.0,700.0,660.0,690.0,690.0,1195
1987-09-11,690.0,720.0,680.0,720.0,720.0,1135
1987-09-14,720.0,880.0,710.0,850.0,850.0,2363
1987-09-15,850.0,900.0,800.0,860.0,860.0,1203
1987-09-16,840.0,840.0,720.0,780.0,780.0,884
1987-09-17,780.0,820.0,760.0,820.0,820.0,519
1987-09-18,820.0,860.0,800.0,820.0,820.0,480
1987-09-21,820.0,840.0,790.0,810.0,810.0,750
1987-09-22,810.0,820.0,780.0,820.0,820.0,504
1987-09-23,820.0,870.0,820.0,870.0,870.0,353
1987-09-24,870.0,870.0,840.0,870.0,870.0,106
1987-09-25,870.0,880.0,850.0,880.0,880.0,34
1987-09-28,880.0,880.0,840.0,870.0,870.0,611
1987-09-29,860.0,860.0,820.0,840.0,840.0,281
1987-09-30,840.0,860.0,820.0,860.0,860.0,986
1987-10-01,860.0,880.0,840.0,850.0,850.0,438
1987-10-02,850.0,860.0,840.0,840.0,840.0,243
1987-10-05,840.0,860.0,800.0,800.0,800.0,310
1987-10-06,800.0,800.0,760.0,760.0,760.0,331
1987-10-07,760.0,760.0,740.0,740.0,740.0,239
1987-10-08,740.0,780.0,740.0,750.0,750.0,80
1987-10-09,750.0,780.0,740.0,760.0,760.0,105
1987-10-12,760.0,780.0,700.0,720.0,720.0,550
1987-10-13,720.0,740.0,700.0,720.0,720.0,469
1987-10-14,720.0,730.0,690.0,690.0,690.0,85
1987-10-15,690.0,720.0,670.0,700.0,700.0,418
1987-10-16,700.0,720.0,660.0,660.0,660.0,193
1987-10-19,660.0,660.0,520.0,540.0,540.0,551
1987-10-20,540.0,540.0,420.0,440.0,440.0,289
1987-10-21,460.0,500.0,460.0,500.0,500.0,426
1987-10-22,500.0,560.0,480.0,540.0,540.0,693
1987-10-23,540.0,570.0,510.0,560.0,560.0,369
1987-10-26,560.0,560.0,480.0,490.0,490.0,299
1987-10-27,490.0,530.0,480.0,500.0,500.0,309
1987-10-28,500.0,500.0,450.0,470.0,470.0,265
1987-10-29,470.0,480.0,460.0,480.0,480.0,236
1987-10-30,480.0,510.0,470.0,490.0,490.0,505
1987-11-02,490.0,510.0,490.0,500.0,500.0,244
1987-11-03,490.0,490.0,440.0,460.0,460.0,170
1987-11-04,460.0,460.0,440.0,440.0,440.0,59
1987-11-05,440.0,460.0,420.0,440.0,440.0,33
1987-11-06,460.0,480.0,460.0,480.0,480.0,51
1987-11-09,460.0,460.0,440.0,440.0,440.0,79
1987-11-10,440.0,440.0,420.0,420.0,420.0,113
1987-11-11,420.0,440.0,420.0,420.0,420.0,31
1987-11-12,440.0,460.0,440.0,460.0,460.0,196
1987-11-13,460.0,480.0,440.0,480.0,480.0,361
1987-11-16,480.0,500.0,480.0,500.0,500.0,330
1987-11-17,500.0,520.0,480.0,500.0,500.0,401
1987-11-18,500.0,520.0,500.0,500.0,500.0,168
1987-11-19,500.0,520.0,500.0,520.0,520.0,44
1987-11-20,500.0,500.0,480.0,500.0,500.0,394
1987-11-23,500.0,520.0,480.0,520.0,520.0,464
1987-11-24,520.0,530.0,500.0,530.0,530.0,675
1987-11-25,530.0,530.0,500.0,520.0,520.0,279
1987-11-27,520.0,530.0,510.0,510.0,510.0,444
1987-11-30,510.0,530.0,480.0,510.0,510.0,231
1987-12-01,500.0,500.0,490.0,490.0,490.0,260
1987-12-02,490.0,510.0,480.0,510.0,510.0,29
1987-12-03,510.0,510.0,490.0,490.0,490.0,34
1987-12-04,490.0,500.0,480.0,480.0,480.0,114
1987-12-07,480.0,500.0,460.0,460.0,460.0,109
1987-12-08,460.0,480.0,460.0,480.0,480.0,106
1987-12-09,480.0,480.0,460.0,470.0,470.0,104
1987-12-10,470.0,470.0,450.0,460.0,460.0,118
1987-12-11,460.0,460.0,450.0,450.0,450.0,24
1987-12-14,450.0,460.0,440.0,460.0,460.0,69
1987-12-15,460.0,480.0,440.0,470.0,470.0,115
1987-12-16,470.0,470.0,440.0,470.0,470.0,61
1987-12-17,470.0,480.0,460.0,460.0,460.0,6
1987-12-18,460.0,480.0,460.0,480.0,480.0,41
1987-12-21,480.0,480.0,460.0,460.0,460.0,48
1987-12-22,460.0,480.0,460.0,480.0,480.0,173
1987-12-23,480.0,480.0,460.0,460.0,460.0,96
1987-12-24,460.0,480.0,460.0,480.0,480.0,80
1987-12-28,480.0,480.0,460.0,460.0,460.0,81
1987-12-29,460.0,460.0,440.0,440.0,440.0,38
1987-12-30,440.0,460.0,440.0,460.0,460.0,140
1987-12-31,460.0,460.0,440.0,440.0,440.0,86
1988-01-04,440.0,480.0,440.0,450.0,450.0,1341
1988-01-05,450.0,480.0,450.0,480.0,480.0,1299
1988-01-06,480.0,480.0,460.0,480.0,480.0,1195
1988-01-07,480.0,500.0,470.0,500.0,500.0,988
1988-01-08,500.0,500.0,480.0,480.0,480.0,49
1988-01-11,480.0,500.0,480.0,480.0,480.0,241
1988-01-12,480.0,480.0,460.0,480.0,480.0,135
1988-01-13,480.0,480.0,470.0,480.0,480.0,315
1988-01-14,480.0,480.0,470.0,480.0,480.0,294
1988-01-15,480.0,480.0,460.0,460.0,460.0,343
1988-01-18,460.0,470.0,460.0,470.0,470.0,75
1988-01-19,470.0,480.0,470.0,480.0,480.0,281
1988-01-20,480.0,490.0,470.0,490.0,490.0,1615
1988-01-21,490.0,490.0,470.0,470.0,470.0,128
1988-01-22,470.0,490.0,470.0,490.0,490.0,99
1988-01-25,490.0,490.0,480.0,480.0,480.0,81
1988-01-26,480.0,500.0,480.0,480.0,480.0,670
1988-01-27,480.0,520.0,480.0,480.0,480.0,24
1988-01-28,480.0,500.0,480.0,480.0,480.0,188
1988-01-29,480.0,510.0,480.0,490.0,490.0,369
1988-02-01,490.0,510.0,480.0,480.0,480.0,50
1988-02-02,480.0,500.0,460.0,460.0,460.0,280
1988-02-03,460.0,470.0,460.0,470.0,470.0,49
1988-02-04,470.0,470.0,450.0,450.0,450.0,46
1988-02-05,450.0,470.0,450.0,460.0,460.0,375
1988-02-08,470.0,470.0,470.0,470.0,470.0,94
1988-02-09,460.0,460.0,450.0,460.0,460.0,25
1988-02-10,450.0,450.0,450.0,450.0,450.0,6
1988-02-11,460.0,480.0,460.0,460.0,460.0,376
1988-02-12,460.0,500.0,460.0,500.0,500.0,80
1988-02-16,500.0,500.0,460.0,460.0,460.0,94
1988-02-17,460.0,490.0,460.0,460.0,460.0,41
1988-02-18,460.0,490.0,460.0,470.0,470.0,111
1988-02-19,470.0,470.0,460.0,460.0,460.0,94
1988-02-22,460.0,470.0,460.0,460.0,460.0,90
1988-02-23,460.0,460.0,450.0,450.0,450.0,310
1988-02-24,450.0,460.0,440.0,450.0,450.0,19
1988-02-25,450.0,460.0,420.0,420.0,420.0,1160
1988-02-26,420.0,450.0,420.0,450.0,450.0,48
1988-02-29,450.0,460.0,430.0,460.0,460.0,136
1988-03-01,440.0,440.0,420.0,420.0,420.0,78
1988-03-02,420.0,440.0,420.0,430.0,430.0,256
1988-03-03,430.0,450.0,430.0,450.0,450.0,479
1988-03-04,450.0,450.0,450.0,450.0,450.0,0
1988-03-07,450.0,470.0,430.0,470.0,470.0,169
1988-03-08,450.0,450.0,450.0,450.0,450.0,4
1988-03-09,450.0,480.0,440.0,440.0,440.0,31
1988-03-10,460.0,490.0,460.0,460.0,460.0,336
1988-03-11,460.0,490.0,460.0,460.0,460.0,18
1988-03-14,460.0,460.0,460.0,460.0,460.0,31
1988-03-15,460.0,490.0,460.0,470.0,470.0,185
1988-03-16,480.0,500.0,480.0,480.0,480.0,56
1988-03-17,480.0,500.0,480.0,490.0,490.0,1194
1988-03-18,490.0,560.0,490.0,530.0,530.0,633
1988-03-21,530.0,600.0,530.0,590.0,590.0,883
1988-03-22,600.0,650.0,600.0,640.0,640.0,1349
1988-03-23,640.0,670.0,630.0,650.0,650.0,1231
1988-03-24,650.0,660.0,630.0,630.0,630.0,448
1988-03-25,630.0,650.0,630.0,640.0,640.0,286
1988-03-28,630.0,630.0,580.0,600.0,600.0,666
1988-03-29,600.0,600.0,540.0,560.0,560.0,255
1988-03-30,560.0,570.0,530.0,530.0,530.0,138
1988-03-31,530.0,550.0,520.0,550.0,550.0,36
1988-04-04,550.0,550.0,520.0,520.0,520.0,20
1988-04-05,530.0,550.0,530.0,550.0,550.0,240
1988-04-06,550.0,580.0,540.0,560.0,560.0,103
1988-04-07,560.0,590.0,560.0,580.0,580.0,256
1988-04-08,580.0,590.0,580.0,590.0,590.0,241
1988-04-11,590.0,600.0,580.0,580.0,580.0,126
1988-04-12,580.0,600.0,570.0,570.0,570.0,160
1988-04-13,570.0,590.0,560.0,580.0,580.0,204
1988-04-14,570.0,570.0,540.0,540.0,540.0,144
1988-04-15,540.0,550.0,520.0,550.0,550.0,171
1988-04-18,550.0,580.0,540.0,580.0,580.0,375
1988-04-19,580.0,600.0,580.0,580.0,580.0,98
1988-04-20,580.0,600.0,580.0,600.0,600.0,80
1988-04-21,600.0,610.0,580.0,580.0,580.0,189
1988-04-22,580.0,600.0,570.0,600.0,600.0,73
1988-04-25,600.0,600.0,570.0,600.0,600.0,219
1988-04-26,600.0,600.0,580.0,580.0,580.0,96
1988-04-27,580.0,600.0,560.0,580.0,580.0,158
1988-04-28,580.0,590.0,570.0,590.0,590.0,19
1988-04-29,580.0,580.0,570.0,580.0,580.0,144
1988-05-02,580.0,590.0,570.0,580.0,580.0,75
1988-05-03,580.0,600.0,560.0,600.0,600.0,513
1988-05-04,600.0,640.0,600.0,630.0,630.0,670
1988-05-05,630.0,640.0,620.0,630.0,630.0,685
1988-05-06,630.0,650.0,620.0,640.0,640.0,2001
1988-05-09,640.0,670.0,640.0,660.0,660.0,1599
1988-05-10,660.0,660.0,630.0,650.0,650.0,145
1988-05-11,640.0,640.0,630.0,630.0,630.0,193
1988-05-12,640.0,640.0,640.0,640.0,640.0,11
1988-05-13,630.0,630.0,610.0,630.0,630.0,16
1988-05-16,630.0,630.0,610.0,630.0,630.0,178
1988-05-17,630.0,630.0,610.0,610.0,610.0,536
1988-05-18,610.0,630.0,610.0,610.0,610.0,288
1988-05-19,610.0,620.0,600.0,620.0,620.0,56
1988-05-20,620.0,630.0,610.0,620.0,620.0,223
1988-05-23,620.0,620.0,590.0,610.0,610.0,245
1988-05-24,610.0,610.0,590.0,610.0,610.0,153
1988-05-25,610.0,620.0,600.0,600.0,600.0,144
1988-05-26,600.0,620.0,600.0,620.0,620.0,511
1988-05-27,620.0,620.0,600.0,610.0,610.0,133
1988-05-31,610.0,610.0,600.0,610.0,610.0,380
1988-06-01,610.0,620.0,600.0,600.0,600.0,84
1988-06-02,600.0,620.0,600.0,600.0,600.0,231
1988-06-03,600.0,650.0,600.0,650.0,650.0,275
1988-06-06,650.0,720.0,630.0,710.0,710.0,1760
1988-06-07,710.0,740.0,660.0,690.0,690.0,991
1988-06-08,690.0,690.0,660.0,690.0,690.0,266
1988-06-09,690.0,690.0,660.0,680.0,680.0,109
1988-06-10,680.0,700.0,660.0,690.0,690.0,516
1988-06-13,690.0,690.0,660.0,690.0,690.0,160
1988-06-14,690.0,690.0,660.0,680.0,680.0,93
1988-06-15,660.0,660.0,640.0,640.0,640.0,39
1988-06-16,640.0,670.0,640.0,640.0,640.0,289
1988-06-17,640.0,650.0,630.0,640.0,640.0,78
1988-06-20,640.0,640.0,630.0,630.0,630.0,9
1988-06-21,650.0,690.0,650.0,680.0,680.0,625
1988-06-22,690.0,720.0,690.0,720.0,720.0,2699
1988-06-23,720.0,740.0,700.0,720.0,720.0,1176
1988-06-24,720.0,720.0,700.0,710.0,710.0,40
1988-06-27,710.0,730.0,700.0,720.0,720.0,283
1988-06-28,720.0,720.0,700.0,710.0,710.0,223
1988-06-29,710.0,710.0,690.0,710.0,710.0,345
1988-06-30,710.0,710.0,690.0,690.0,690.0,111
1988-07-01,700.0,730.0,700.0,720.0,720.0,600
1988-07-05,720.0,730.0,710.0,720.0,720.0,59
1988-07-06,720.0,730.0,700.0,700.0,700.0,336
1988-07-07,700.0,710.0,690.0,710.0,710.0,256
1988-07-08,710.0,710.0,700.0,710.0,710.0,316
1988-07-11,710.0,710.0,690.0,710.0,710.0,245
1988-07-12,710.0,710.0,690.0,690.0,690.0,186
1988-07-13,690.0,740.0,690.0,740.0,740.0,1069
1988-07-14,740.0,740.0,700.0,710.0,710.0,1076
1988-07-15,710.0,720.0,700.0,720.0,720.0,239
1988-07-18,720.0,730.0,710.0,730.0,730.0,725
1988-07-19,730.0,730.0,700.0,700.0,700.0,159
1988-07-20,700.0,720.0,690.0,690.0,690.0,105
1988-07-21,690.0,710.0,690.0,710.0,710.0,88
1988-07-22,710.0,710.0,690.0,710.0,710.0,108
1988-07-25,710.0,710.0,690.0,710.0,710.0,189
1988-07-26,710.0,710.0,690.0,690.0,690.0,566
1988-07-27,690.0,710.0,690.0,690.0,690.0,229
1988-07-28,690.0,700.0,680.0,700.0,700.0,159
1988-07-29,700.0,700.0,680.0,680.0,680.0,78
1988-08-01,680.0,700.0,680.0,680.0,680.0,149
1988-08-02,680.0,700.0,680.0,700.0,700.0,38
1988-08-03,700.0,700.0,680.0,690.0,690.0,406
1988-08-04,690.0,700.0,660.0,680.0,680.0,640
1988-08-05,680.0,680.0,650.0,650.0,650.0,113
1988-08-08,650.0,670.0,650.0,650.0,650.0,175
1988-08-09,650.0,650.0,630.0,650.0,650.0,381
1988-08-10,650.0,650.0,620.0,650.0,650.0,66
1988-08-11,650.0,650.0,630.0,650.0,650.0,60
1988-08-12,650.0,650.0,630.0,640.0,640.0,49
1988-08-15,640.0,650.0,620.0,630.0,630.0,149
1988-08-16,630.0,630.0,600.0,630.0,630.0,208
1988-08-17,630.0,630.0,600.0,630.0,630.0,175
1988-08-18,630.0,640.0,600.0,640.0,640.0,536
1988-08-19,630.0,630.0,600.0,630.0,630.0,190
1988-08-22,630.0,630.0,600.0,600.0,600.0,55
1988-08-23,600.0,620.0,590.0,600.0,600.0,39
1988-08-24,600.0,620.0,590.0,610.0,610.0,360
1988-08-25,600.0,600.0,580.0,600.0,600.0,230
1988-08-26,600.0,600.0,580.0,600.0,600.0,1258
1988-08-29,600.0,620.0,590.0,600.0,600.0,1496
1988-08-30,600.0,620.0,590.0,620.0,620.0,1193
1988-08-31,620.0,660.0,610.0,640.0,640.0,355
1988-09-01,640.0,660.0,620.0,640.0,640.0,114
1988-09-02,640.0,650.0,630.0,640.0,640.0,343
1988-09-06,640.0,680.0,640.0,660.0,660.0,381
1988-09-07,660.0,680.0,660.0,680.0,680.0,401
1988-09-08,680.0,680.0,660.0,680.0,680.0,616
1988-09-09,680.0,690.0,670.0,680.0,680.0,284
1988-09-12,680.0,690.0,670.0,680.0,680.0,31
