Date,Open,High,Low,Close,Adj Close,Volume
1999-11-12,15.875,20.0,5.5,18.625,17.772079467773438,7529100
1999-11-15,19.40625,19.8125,18.25,18.875,18.010629653930664,1790700
1999-11-16,19.0625,25.1875,19.0,23.5,22.423831939697266,1329300
1999-11-17,25.5,27.375,24.5625,25.25,24.093690872192383,654700
1999-11-18,26.125,31.375,25.4375,28.0,26.717756271362305,531200
1999-11-19,28.625,28.875,24.25,24.875,23.735862731933594,378500
1999-11-22,25.125,26.0,24.25,25.0,23.855140686035156,192100
1999-11-23,25.0,25.25,21.75,23.125,22.066003799438477,549200
1999-11-24,22.96875,23.25,21.5,22.75,21.70817756652832,323200
1999-11-26,22.65625,24.0,22.375,24.0,22.90093421936035,254100
1999-11-29,23.9375,27.25,23.375,25.25,24.093690872192383,298600
1999-11-30,25.375,27.5,25.125,27.0625,25.82318878173828,505400
1999-12-01,27.125,27.125,25.375,26.25,25.047895431518555,147800
1999-12-02,25.875,28.375,25.75,28.0,26.717756271362305,160200
1999-12-03,27.78125,30.5,27.25,29.5,28.149063110351562,311700
1999-12-06,29.8125,34.5,27.625,31.0,29.58037567138672,294000
1999-12-07,29.0,30.875,28.3125,29.875,28.506893157958984,260900
1999-12-08,31.375,35.9375,31.375,33.125,31.608057022094727,531300
1999-12-09,33.375,39.25,33.125,39.25,37.45257568359375,378700
1999-12-10,41.0,45.25,40.25,44.0,41.985050201416016,489700
1999-12-13,44.375,49.625,42.125,48.0,45.8018684387207,624600
1999-12-14,48.53125,49.9375,40.625,47.5,45.324771881103516,360900
1999-12-15,47.0,47.625,43.5,44.0,41.985050201416016,250600
1999-12-16,44.5,45.625,41.125,41.5,39.59952926635742,183200
1999-12-17,41.5625,42.0,40.75,41.25,39.36098098754883,113900
1999-12-20,41.125,42.75,40.375,40.375,38.52605056762695,105400
1999-12-21,40.375,40.5,37.4375,37.875,36.140541076660156,215500
1999-12-22,38.625,39.5,37.25,37.375,35.66343307495117,120800
1999-12-23,37.3125,39.125,35.8125,36.125,34.470680236816406,206100
1999-12-27,36.5,36.5,33.0,33.0,31.488780975341797,129100
1999-12-28,32.5,33.125,31.375,31.4375,29.997838973999023,227600
1999-12-29,31.96875,37.875,31.96875,35.75,34.11285400390625,130400
1999-12-30,35.75,37.875,35.0,36.375,34.709232330322266,71100
1999-12-31,36.375,39.0625,36.375,38.375,36.617645263671875,57700
2000-01-03,38.375,39.125,37.125,37.5625,35.842350006103516,32000
2000-01-04,36.0,37.0,31.0,32.875,31.369508743286133,73300
2000-01-05,33.0,33.5,31.0,33.5,31.96588706970215,199800
2000-01-06,34.0,34.0,32.375,32.5625,31.071321487426758,31300
2000-01-07,32.78125,37.0,32.375,36.25,34.5899543762207,89800
2000-01-10,37.625,37.875,33.875,34.0,32.442989349365234,49300
2000-01-11,33.5,34.5,33.0,33.25,31.727338790893555,106800
2000-01-12,33.25,33.5625,33.0,33.0,31.488780975341797,22700
2000-01-13,33.40625,33.4375,32.4375,32.4375,30.952045440673828,27900
2000-01-14,32.59375,32.75,31.0,32.5625,31.071321487426758,351000
2000-01-18,32.75,38.25,32.0,37.25,35.544158935546875,99700
2000-01-19,37.5,38.5,33.0,37.5,35.78270721435547,76400
2000-01-20,37.375,38.125,35.875,36.5,34.82851028442383,53100
2000-01-21,36.5,41.75,36.5,40.875,39.00315475463867,93900
2000-01-24,41.8125,42.0,35.75,35.75,34.11285400390625,74900
2000-01-25,37.375,37.375,33.5,35.0,33.397193908691406,38700
2000-01-26,33.6875,36.125,32.75,34.75,33.15864181518555,135100
2000-01-27,36.25,37.5,35.0,36.3125,34.64958953857422,82700
2000-01-28,36.25,36.25,34.375,34.5,32.92008972167969,35800
2000-01-31,34.125,36.0,33.0,35.5,33.87429428100586,30500
