Date,Open,High,Low,Close,Adj Close,Volume
1997-01-29,5.1875,5.75,5.1875,5.5,3.501615285873413,9702000
1997-01-30,5.53125,5.75,5.53125,5.65625,3.6010918617248535,1916000
1997-01-31,5.59375,5.625,5.375,5.4375,3.461822271347046,554400
1997-02-03,5.4375,5.5,5.4375,5.46875,3.4817168712615967,298000
1997-02-04,5.5625,5.5625,5.40625,5.4375,3.461822271347046,162000
1997-02-05,5.46875,5.53125,5.40625,5.46875,3.4817168712615967,272400
1997-02-06,5.5,5.71875,5.5,5.6875,3.6209864616394043,112400
1997-02-07,5.75,5.9375,5.75,5.9375,3.780151128768921,208400
1997-02-10,5.9375,5.9375,5.59375,5.625,3.5811967849731445,361600
1997-02-11,5.5625,5.6875,5.5,5.625,3.5811967849731445,176000
1997-02-12,5.625,5.6875,5.5625,5.65625,3.6010918617248535,45600
1997-02-13,5.65625,5.71875,5.65625,5.6875,3.6209864616394043,172000
1997-02-14,5.71875,5.84375,5.71875,5.75,3.6607789993286133,213600
1997-02-18,5.75,5.78125,5.71875,5.71875,3.640883445739746,191200
1997-02-19,5.75,5.78125,5.75,5.75,3.6607789993286133,28800
1997-02-20,5.75,5.8125,5.75,5.75,3.6607789993286133,132800
1997-02-21,5.75,5.78125,5.71875,5.75,3.6607789993286133,95600
1997-02-24,5.9375,6.15625,5.9375,6.09375,3.8796298503875732,281200
1997-02-25,6.0625,6.375,6.03125,6.375,4.058689117431641,251600
1997-02-26,6.4375,6.625,6.25,6.25,3.9791066646575928,366800
1997-02-27,6.25,6.28125,6.125,6.125,3.8995254039764404,70400
1997-02-28,6.125,6.125,5.96875,5.96875,3.8000457286834717,96000
1997-03-03,5.96875,5.96875,5.78125,5.78125,3.680673837661743,15200
1997-03-04,5.75,5.75,5.5,5.5,3.501615285873413,170800
1997-03-05,5.46875,5.5,5.4375,5.5,3.501615285873413,100400
1997-03-06,5.5,5.5,5.375,5.375,3.422031879425049,156000
1997-03-07,5.4375,5.46875,5.375,5.40625,3.441927671432495,54400
1997-03-10,5.4375,5.53125,5.375,5.375,3.422031879425049,252800
1997-03-11,5.3125,5.3125,5.125,5.125,3.2628679275512695,59600
1997-03-12,5.09375,5.09375,4.9375,5.0,3.1832845211029053,227600
1997-03-13,4.96875,4.96875,4.90625,4.90625,3.1235997676849365,278400
1997-03-14,5.0,5.125,5.0,5.125,3.2628679275512695,289600
1997-03-17,5.15625,5.1875,5.15625,5.1875,3.3026576042175293,7600
1997-03-18,5.21875,5.375,5.1875,5.3125,3.3822429180145264,39600
1997-03-19,5.34375,5.34375,5.0625,5.0625,3.2230753898620605,296800
1997-03-20,5.09375,5.09375,5.0625,5.0625,3.2230753898620605,108800
1997-03-21,5.09375,5.09375,5.0,5.0,3.1832845211029053,72400
1997-03-24,4.9375,4.9375,4.59375,4.59375,2.9246439933776855,145600
1997-03-25,4.53125,4.53125,4.125,4.25,2.7057933807373047,482800
1997-03-26,4.3125,4.40625,4.21875,4.21875,2.685896635055542,282800
1997-03-27,4.25,4.25,4.15625,4.21875,2.685896635055542,61200
1997-03-31,4.25,4.25,4.15625,4.15625,2.6461057662963867,143200
1997-04-01,4.15625,4.15625,4.0625,4.09375,2.6063146591186523,19200
1997-04-02,4.0625,4.0625,3.9375,3.9375,2.5068373680114746,19200
1997-04-03,3.84375,3.84375,3.71875,3.71875,2.3675696849823,37200
1997-04-04,3.6875,3.875,3.4375,3.875,2.4670464992523193,764000
1997-04-07,3.9375,4.34375,3.9375,4.34375,2.765479803085327,92000
1997-04-08,4.375,4.53125,4.375,4.53125,2.884852886199951,56000
1997-04-09,4.875,4.96875,4.875,4.96875,3.1633901596069336,132000
1997-04-10,4.90625,4.9375,4.8125,4.8125,3.063913583755493,220000
1997-04-11,4.75,4.8125,4.6875,4.75,3.024120807647705,56000
1997-04-14,4.71875,4.71875,4.65625,4.65625,2.964434862136841,9200
1997-04-15,4.6875,4.6875,4.53125,4.53125,2.884852886199951,15200
1997-04-16,4.5,4.5,4.5,4.5,2.864956855773926,2000
1997-04-17,4.25,4.25,4.1875,4.1875,2.666001558303833,620400
1997-04-18,4.25,4.4375,4.25,4.4375,2.825165271759033,41200
1997-04-21,4.4375,4.4375,4.3125,4.3125,2.7455835342407227,49200
1997-04-22,4.375,4.375,4.09375,4.21875,2.685896635055542,106800
1997-04-23,4.1875,4.25,4.0625,4.25,2.7057933807373047,227200
1997-04-24,4.28125,4.375,4.28125,4.375,2.785374402999878,363600
1997-04-25,4.375,4.4375,4.34375,4.40625,2.805269956588745,67600
1997-04-28,4.4375,4.625,4.375,4.625,2.944537401199341,72800
1997-04-29,4.71875,4.71875,4.6875,4.71875,3.0042266845703125,126400
1997-04-30,4.6875,4.71875,4.625,4.65625,2.964434862136841,24800
1997-05-01,4.65625,4.6875,4.65625,4.6875,2.984330654144287,58400
1997-05-02,4.625,4.625,4.5625,4.59375,2.9246439933776855,10400
1997-05-05,4.65625,4.71875,4.625,4.625,2.944537401199341,195600
1997-05-06,4.65625,4.6875,4.65625,4.6875,2.984330654144287,97600
1997-05-07,4.65625,4.75,4.625,4.75,3.024120807647705,38800
1997-05-08,4.75,4.75,4.75,4.75,3.024120807647705,0
1997-05-09,4.6875,4.71875,4.625,4.65625,2.964434862136841,27600
1997-05-12,4.71875,4.71875,4.625,4.65625,2.964434862136841,168800
1997-05-13,4.6875,4.6875,4.59375,4.625,2.944537401199341,76800
1997-05-14,4.6875,4.6875,4.625,4.625,2.944537401199341,6000
1997-05-15,4.65625,4.71875,4.5625,4.59375,2.9246439933776855,88000
1997-05-16,4.59375,4.625,4.59375,4.625,2.944537401199341,19200
1997-05-19,4.625,4.625,4.46875,4.5,2.864956855773926,14000
1997-05-20,4.46875,4.53125,4.46875,4.53125,2.884852886199951,27600
1997-05-21,4.4375,4.59375,4.4375,4.59375,2.9246439933776855,16400
1997-05-22,4.5,4.65625,4.5,4.65625,2.964434862136841,462800
1997-05-23,4.65625,4.65625,4.625,4.65625,2.964434862136841,300000
1997-05-27,4.625,4.625,4.4375,4.5625,2.904747724533081,113200
1997-05-28,4.5625,4.59375,4.5625,4.59375,2.9246439933776855,246800
1997-05-29,4.59375,4.9375,4.59375,4.9375,3.143494129180908,863200
1997-05-30,4.875,4.96875,4.8125,4.96875,3.1633901596069336,40000
1997-06-02,4.96875,5.0625,4.96875,5.03125,3.203181028366089,47200
1997-06-03,5.0,5.25,5.0,5.21875,3.322554349899292,175200
1997-06-04,5.25,5.28125,5.21875,5.28125,3.362346649169922,44800
1997-06-05,5.25,5.46875,5.25,5.46875,3.4817168712615967,76400
1997-06-06,5.5,5.71875,5.5,5.6875,3.6209864616394043,50800
1997-06-09,5.65625,5.65625,5.5,5.53125,3.5215094089508057,74800
1997-06-10,5.53125,5.53125,5.34375,5.34375,3.40213680267334,11200
1997-06-11,5.28125,5.28125,5.25,5.25,3.3424487113952637,182000
1997-06-12,5.28125,5.3125,5.25,5.3125,3.3822429180145264,28000
1997-06-13,5.28125,5.34375,5.28125,5.3125,3.3822429180145264,4800
1997-06-16,5.34375,5.5,5.3125,5.5,3.501615285873413,36000
1997-06-17,5.4375,5.59375,5.40625,5.59375,3.561300754547119,13600
1997-06-18,5.625,5.71875,5.5625,5.59375,3.561300754547119,20800
1997-06-19,5.53125,5.6875,5.53125,5.625,3.5811967849731445,50400
1997-06-20,5.6875,5.875,5.625,5.75,3.6607789993286133,74000
1997-06-23,5.6875,5.875,5.6875,5.78125,3.680673837661743,27600
1997-06-24,5.8125,6.0,5.8125,6.0,3.819941997528076,39600
1997-06-25,6.0,6.15625,6.0,6.0625,3.8597328662872314,42400
1997-06-26,6.125,6.15625,6.03125,6.09375,3.8796298503875732,30800
1997-06-27,6.125,6.125,5.9375,6.0625,3.8597328662872314,40800
1997-06-30,6.0,6.0625,5.9375,6.046875,3.8497886657714844,106400
1997-07-01,6.015625,6.015625,5.953125,5.96875,3.8000457286834717,5200
1997-07-02,5.9375,5.9375,5.921875,5.921875,3.7702035903930664,58400
1997-07-03,5.921875,6.0,5.84375,6.0,3.819941997528076,25600
