Date,Open,High,Low,Close,Adj Close,Volume
1998-05-15,850.0,900.0,825.0,850.0,850.0,11
1998-05-18,825.0,912.5,800.0,875.0,875.0,169
1998-05-19,825.0,825.0,825.0,825.0,825.0,10
1998-05-20,825.0,825.0,825.0,825.0,825.0,0
1998-05-21,825.0,825.0,825.0,825.0,825.0,0
1998-05-22,825.0,825.0,825.0,825.0,825.0,0
1998-05-26,800.0,800.0,800.0,800.0,800.0,12
1998-05-27,800.0,800.0,800.0,800.0,800.0,0
1998-05-28,800.0,800.0,800.0,800.0,800.0,0
1998-05-29,800.0,800.0,800.0,800.0,800.0,0
1998-06-01,800.0,800.0,800.0,800.0,800.0,0
1998-06-02,750.0,750.0,750.0,750.0,750.0,85
1998-06-03,750.0,750.0,750.0,750.0,750.0,0
1998-06-04,750.0,750.0,750.0,750.0,750.0,0
1998-06-05,700.0,750.0,700.0,750.0,750.0,22
1998-06-08,750.0,750.0,750.0,750.0,750.0,0
1998-06-09,750.0,750.0,750.0,750.0,750.0,0
1998-06-10,750.0,750.0,750.0,750.0,750.0,0
1998-06-11,637.5,637.5,637.5,637.5,637.5,10
1998-06-12,625.0,625.0,625.0,625.0,625.0,7
1998-06-15,625.0,625.0,625.0,625.0,625.0,9
1998-06-16,625.0,625.0,625.0,625.0,625.0,0
1998-06-17,725.0,787.5,725.0,787.5,787.5,50
1998-06-18,787.5,787.5,787.5,787.5,787.5,0
1998-06-19,700.0,700.0,700.0,700.0,700.0,10
1998-06-22,700.0,700.0,700.0,700.0,700.0,15
1998-06-23,700.0,700.0,700.0,700.0,700.0,0
1998-06-24,625.0,675.0,625.0,675.0,675.0,5
1998-06-25,675.0,675.0,675.0,675.0,675.0,0
1998-06-26,675.0,675.0,675.0,675.0,675.0,0
1998-06-29,675.0,675.0,675.0,675.0,675.0,0
1998-06-30,675.0,675.0,675.0,675.0,675.0,0
1998-07-01,675.0,675.0,675.0,675.0,675.0,0
1998-07-02,675.0,675.0,675.0,675.0,675.0,0
1998-07-06,600.0,600.0,600.0,600.0,600.0,5
1998-07-07,600.0,606.25,600.0,606.25,606.25,6
1998-07-08,612.5,612.5,612.5,612.5,612.5,1
1998-07-09,612.5,612.5,612.5,612.5,612.5,0
1998-07-10,612.5,612.5,612.5,612.5,612.5,2
1998-07-13,612.5,612.5,612.5,612.5,612.5,0
1998-07-14,550.0,600.0,550.0,600.0,600.0,80
1998-07-15,600.0,600.0,600.0,600.0,600.0,0
1998-07-16,600.0,600.0,600.0,600.0,600.0,0
1998-07-17,587.5,587.5,587.5,587.5,587.5,13
1998-07-20,587.5,587.5,587.5,587.5,587.5,0
1998-07-21,587.5,587.5,587.5,587.5,587.5,4
1998-07-22,587.5,587.5,587.5,587.5,587.5,0
1998-07-23,587.5,587.5,587.5,587.5,587.5,5
1998-07-24,587.5,587.5,587.5,587.5,587.5,0
1998-07-27,587.5,600.0,575.0,575.0,575.0,35
1998-07-28,575.0,575.0,575.0,575.0,575.0,0
1998-07-29,575.0,575.0,575.0,575.0,575.0,0
1998-07-30,512.5,512.5,512.5,512.5,512.5,2
1998-07-31,550.0,550.0,550.0,550.0,550.0,10
1998-08-03,512.5,512.5,512.5,512.5,512.5,10
1998-08-04,475.0,475.0,450.0,475.0,475.0,60
1998-08-05,450.0,450.0,425.0,425.0,425.0,40
1998-08-06,425.0,425.0,425.0,425.0,425.0,0
1998-08-07,467.1875,467.1875,467.1875,467.1875,467.1875,10
1998-08-10,468.75,468.75,468.75,468.75,468.75,0
1998-08-11,475.0,475.0,475.0,475.0,475.0,2
1998-08-12,475.0,475.0,475.0,475.0,475.0,0
1998-08-13,400.0,450.0,400.0,400.0,400.0,52
1998-08-14,443.75,443.75,443.75,443.75,443.75,1
1998-08-17,442.1875,442.1875,442.1875,442.1875,442.1875,0
1998-08-18,425.0,425.0,425.0,425.0,425.0,20
1998-08-19,400.0,400.0,400.0,400.0,400.0,21
1998-08-20,400.0,400.0,400.0,400.0,400.0,20
1998-08-21,300.0,450.0,300.0,450.0,450.0,10
1998-08-24,412.5,412.5,412.5,412.5,412.5,7
1998-08-25,412.5,412.5,412.5,412.5,412.5,0
1998-08-26,450.0,450.0,412.5,412.5,412.5,47
1998-08-27,375.0,412.5,375.0,412.5,412.5,31
