Date,Open,High,Low,Close,Adj Close,Volume
2005-11-03,2545.0,2650.0,2500.0,2560.0,2560.0,34
2005-11-04,2620.0,2775.0,2500.0,2775.0,2775.0,220
2005-11-07,2875.0,2975.0,2660.0,2945.0,2945.0,73
2005-11-08,3025.0,3080.0,2910.0,3070.0,3070.0,21
2005-11-09,3095.0,3135.0,2750.0,3050.0,3050.0,42
2005-11-10,3080.0,3225.0,2930.0,3145.0,3145.0,32
2005-11-11,3100.0,3300.0,3100.0,3250.0,3250.0,34
2005-11-14,3390.0,3935.0,3380.0,3570.0,3570.0,38
2005-11-15,3925.0,4000.0,3675.0,3875.0,3875.0,52
2005-11-16,4000.0,4000.0,3750.0,4000.0,4000.0,60
2005-11-17,3970.0,4000.0,3900.0,3950.0,3950.0,16
2005-11-18,4000.0,4000.0,3675.0,3675.0,3675.0,24
2005-11-21,3650.0,3650.0,3270.0,3500.0,3500.0,30
2005-11-22,3950.0,3950.0,3660.0,3945.0,3945.0,22
2005-11-23,3900.0,4000.0,3500.0,3905.0,3905.0,13
2005-11-25,3900.0,3900.0,3900.0,3900.0,3900.0,1
2005-11-28,3885.0,3995.0,3450.0,3995.0,3995.0,29
2005-11-29,4000.0,4000.0,3500.0,3700.0,3700.0,32
2005-11-30,3675.0,3750.0,3675.0,3750.0,3750.0,10
2005-12-01,3625.0,3625.0,3380.0,3400.0,3400.0,41
2005-12-02,3740.0,3740.0,3325.0,3425.0,3425.0,25
2005-12-05,3300.0,3515.0,3250.0,3400.0,3400.0,23
2005-12-06,3500.0,3500.0,3375.0,3375.0,3375.0,8
2005-12-07,3365.0,3455.0,3230.0,3230.0,3230.0,9
2005-12-08,3650.0,3850.0,3455.0,3600.0,3600.0,56
2005-12-09,3555.0,3690.0,3230.0,3480.0,3480.0,22
2005-12-12,3460.0,3505.0,3130.0,3275.0,3275.0,54
2005-12-13,3250.0,3325.0,2855.0,2980.0,2980.0,68
2005-12-14,3065.0,3065.0,2780.0,2840.0,2840.0,76
2005-12-15,2830.0,2870.0,2625.0,2740.0,2740.0,44
2005-12-16,2740.0,2750.0,2625.0,2750.0,2750.0,44
2005-12-19,2730.0,2800.0,2675.0,2675.0,2675.0,8
2005-12-20,2665.0,2750.0,2625.0,2660.0,2660.0,22
2005-12-21,2840.0,2840.0,2745.0,2745.0,2745.0,2
2005-12-22,2760.0,2785.0,2750.0,2785.0,2785.0,1
2005-12-23,2750.0,2875.0,2750.0,2790.0,2790.0,4
2005-12-27,2745.0,2845.0,2730.0,2845.0,2845.0,9
2005-12-28,2725.0,2725.0,2630.0,2670.0,2670.0,2
2005-12-29,2710.0,2750.0,2710.0,2725.0,2725.0,6
2005-12-30,2690.0,2690.0,2665.0,2665.0,2665.0,4
2006-01-03,2665.0,2920.0,2610.0,2610.0,2610.0,34
2006-01-04,2785.0,2860.0,2685.0,2800.0,2800.0,10
2006-01-05,2760.0,2940.0,2610.0,2935.0,2935.0,15
2006-01-06,2800.0,2995.0,2790.0,2960.0,2960.0,6
2006-01-09,2850.0,3060.0,2850.0,3000.0,3000.0,7
2006-01-10,3050.0,3050.0,3000.0,3000.0,3000.0,12
2006-01-11,2965.0,2965.0,2805.0,2850.0,2850.0,5
2006-01-12,2945.0,2945.0,2900.0,2900.0,2900.0,0
2006-01-13,2780.0,2990.0,2710.0,2775.0,2775.0,3
2006-01-17,2680.0,2760.0,2675.0,2675.0,2675.0,19
2006-01-18,2675.0,2675.0,2610.0,2630.0,2630.0,20
2006-01-19,2650.0,2970.0,2600.0,2800.0,2800.0,16
2006-01-20,2800.0,2800.0,2750.0,2800.0,2800.0,2
2006-01-23,2800.0,2810.0,2705.0,2705.0,2705.0,8
2006-01-24,2660.0,2670.0,2660.0,2670.0,2670.0,1
2006-01-25,2655.0,2745.0,2650.0,2745.0,2745.0,2
2006-01-26,2710.0,2710.0,2710.0,2710.0,2710.0,2
2006-01-27,2650.0,2700.0,2625.0,2700.0,2700.0,1
2006-01-30,2750.0,2900.0,2730.0,2830.0,2830.0,15
2006-01-31,2875.0,3000.0,2680.0,2680.0,2680.0,4
2006-02-01,2680.0,2680.0,2680.0,2680.0,2680.0,0
2006-02-02,2725.0,2725.0,2710.0,2710.0,2710.0,9
2006-02-03,2700.0,2700.0,2700.0,2700.0,2700.0,40
2006-02-06,2720.0,2720.0,2720.0,2720.0,2720.0,0
2006-02-07,2700.0,2700.0,2700.0,2700.0,2700.0,0
2006-02-08,2700.0,2845.0,2700.0,2845.0,2845.0,4
2006-02-09,2835.0,2835.0,2780.0,2780.0,2780.0,2
2006-02-10,2775.0,2775.0,2750.0,2750.0,2750.0,6
2006-02-13,2740.0,2740.0,2680.0,2690.0,2690.0,3
2006-02-14,2690.0,2725.0,2690.0,2700.0,2700.0,8
2006-02-15,2765.0,2765.0,2765.0,2765.0,2765.0,1
2006-02-16,2730.0,2730.0,2710.0,2725.0,2725.0,2
2006-02-17,2705.0,3050.0,2705.0,3005.0,3005.0,51
2006-02-21,3050.0,3050.0,2920.0,2920.0,2920.0,16
2006-02-22,2900.0,2900.0,2755.0,2900.0,2900.0,2
2006-02-23,2900.0,2900.0,2900.0,2900.0,2900.0,0
2006-02-24,2900.0,2900.0,2900.0,2900.0,2900.0,0
2006-02-27,2840.0,2915.0,2760.0,2760.0,2760.0,10
2006-02-28,2760.0,2760.0,2760.0,2760.0,2760.0,0
2006-03-01,2760.0,2760.0,2760.0,2760.0,2760.0,0
2006-03-02,2800.0,2800.0,2795.0,2800.0,2800.0,13
2006-03-03,2760.0,2760.0,2760.0,2760.0,2760.0,0
2006-03-06,2760.0,2760.0,2760.0,2760.0,2760.0,0
2006-03-07,2870.0,3045.0,2870.0,2920.0,2920.0,29
2006-03-08,2925.0,3075.0,2925.0,3010.0,3010.0,14
2006-03-09,3100.0,3100.0,2875.0,3045.0,3045.0,12
2006-03-10,3050.0,3050.0,3050.0,3050.0,3050.0,4
2006-03-13,2935.0,2935.0,2755.0,2755.0,2755.0,8
2006-03-14,2905.0,2905.0,2750.0,2750.0,2750.0,12
2006-03-15,2800.0,2875.0,2800.0,2825.0,2825.0,27
2006-03-16,2825.0,2825.0,2745.0,2825.0,2825.0,27
2006-03-17,2830.0,3000.0,2825.0,2830.0,2830.0,23
2006-03-20,2885.0,3000.0,2885.0,2985.0,2985.0,4
2006-03-21,2885.0,3000.0,2885.0,2925.0,2925.0,1
2006-03-22,3000.0,3000.0,2905.0,2905.0,2905.0,1
2006-03-23,2935.0,2935.0,2935.0,2935.0,2935.0,0
2006-03-24,2935.0,2935.0,2935.0,2935.0,2935.0,0
2006-03-27,3000.0,3000.0,2990.0,2990.0,2990.0,3
2006-03-28,2990.0,2995.0,2930.0,2930.0,2930.0,6
2006-03-29,2925.0,3000.0,2800.0,2850.0,2850.0,7
2006-03-30,2805.0,2915.0,2805.0,2915.0,2915.0,4
2006-03-31,2910.0,2950.0,2910.0,2950.0,2950.0,4
2006-04-03,2855.0,2940.0,2855.0,2940.0,2940.0,1
2006-04-04,2875.0,2875.0,2760.0,2825.0,2825.0,14
2006-04-05,2805.0,2825.0,2805.0,2810.0,2810.0,2
2006-04-06,2825.0,2975.0,2825.0,2935.0,2935.0,16
2006-04-07,2950.0,3000.0,2800.0,2800.0,2800.0,696
2006-04-10,2925.0,2925.0,2840.0,2840.0,2840.0,6
2006-04-11,2860.0,2985.0,2785.0,2845.0,2845.0,231
2006-04-12,2855.0,2865.0,2775.0,2860.0,2860.0,3
2006-04-13,2800.0,2865.0,2800.0,2810.0,2810.0,8
2006-04-17,2860.0,2875.0,2830.0,2850.0,2850.0,98
2006-04-18,2825.0,2860.0,2825.0,2825.0,2825.0,44
2006-04-19,2875.0,2975.0,2825.0,2950.0,2950.0,163
2006-04-20,2950.0,2950.0,2950.0,2950.0,2950.0,1
2006-04-21,2975.0,2975.0,2890.0,2890.0,2890.0,15
2006-04-24,2890.0,2975.0,2875.0,2910.0,2910.0,5
2006-04-25,2875.0,2950.0,2875.0,2900.0,2900.0,5
2006-04-26,2900.0,2900.0,2875.0,2875.0,2875.0,6
2006-04-27,2875.0,2945.0,2875.0,2900.0,2900.0,4
2006-04-28,2950.0,2950.0,2900.0,2900.0,2900.0,1
2006-05-01,2900.0,2900.0,2900.0,2900.0,2900.0,0
2006-05-02,2950.0,2950.0,2950.0,2950.0,2950.0,6
2006-05-03,2950.0,2975.0,2950.0,2950.0,2950.0,9
2006-05-04,2975.0,3000.0,2950.0,3000.0,3000.0,5
2006-05-05,3000.0,3000.0,2970.0,2990.0,2990.0,4
2006-05-08,3000.0,3250.0,3000.0,3140.0,3140.0,103
2006-05-09,3250.0,3470.0,2960.0,3470.0,3470.0,31
2006-05-10,3230.0,3575.0,3230.0,3485.0,3485.0,49
2006-05-11,3525.0,3525.0,3385.0,3425.0,3425.0,16
2006-05-12,3425.0,3425.0,3265.0,3285.0,3285.0,42
2006-05-15,3495.0,3495.0,3285.0,3350.0,3350.0,69
2006-05-16,3425.0,3480.0,3340.0,3415.0,3415.0,14
2006-05-17,3500.0,3500.0,3410.0,3410.0,3410.0,30
2006-05-18,3420.0,3550.0,3300.0,3335.0,3335.0,27
2006-05-19,3350.0,3610.0,3335.0,3585.0,3585.0,15
2006-05-22,3705.0,3750.0,3500.0,3540.0,3540.0,31
2006-05-23,3640.0,3740.0,3560.0,3635.0,3635.0,10
2006-05-24,3555.0,3690.0,3550.0,3580.0,3580.0,5
2006-05-25,3735.0,3930.0,3630.0,3785.0,3785.0,12
2006-05-26,3750.0,3795.0,3690.0,3750.0,3750.0,4
2006-05-30,3675.0,3825.0,3675.0,3800.0,3800.0,7
