Date,Open,High,Low,Close,Adj Close,Volume
1996-04-01,438.0,440.0,438.0,438.0,383.5975036621094,85181
1996-04-02,438.0,440.0,436.0,438.0,383.5975036621094,19256
1996-04-03,436.0,438.0,436.0,436.0,381.84588623046875,9725
1996-04-04,434.0,434.0,424.0,428.0,374.8395690917969,11088
1996-04-08,420.0,424.0,418.0,424.0,371.3363952636719,4294
1996-04-09,424.0,426.0,422.0,422.0,369.5848083496094,5244
1996-04-10,428.0,430.0,426.0,426.0,373.08795166015625,11744
1996-04-11,430.0,430.0,426.0,428.0,374.8395690917969,20313
1996-04-12,430.0,430.0,428.0,430.0,376.5911560058594,1838
1996-04-15,434.0,436.0,432.0,434.0,380.09429931640625,1238
1996-04-16,440.0,442.0,440.0,442.0,387.1007080078125,1888
1996-04-17,440.0,440.0,438.0,440.0,385.34906005859375,800
1996-04-18,440.0,444.0,440.0,442.0,387.1007080078125,756
1996-04-19,452.0,454.0,452.0,452.0,395.8586120605469,1538
1996-04-22,456.0,456.0,454.0,454.0,397.61016845703125,931
1996-04-23,456.0,456.0,452.0,452.0,395.8586120605469,938
1996-04-24,450.0,450.0,444.0,444.0,388.8522644042969,931
1996-04-25,448.0,450.0,444.0,446.0,390.6038513183594,994
1996-04-26,448.0,448.0,442.0,442.0,387.1007080078125,11719
1996-04-29,446.0,446.0,444.0,444.0,388.8522644042969,894
1996-04-30,442.0,442.0,438.0,438.0,383.5975036621094,744
1996-05-01,440.0,440.25,436.0,440.25,385.5680236816406,5819
1996-05-02,432.0,432.0,428.0,428.0,374.8395690917969,975
1996-05-03,430.0,432.0,430.0,432.0,378.3427429199219,1463
1996-05-06,438.0,438.0,434.0,434.0,380.09429931640625,1094
1996-05-07,442.0,442.0,440.0,440.0,385.34906005859375,925
1996-05-08,442.0,442.0,440.0,440.0,385.34906005859375,1500
1996-05-09,444.0,446.0,444.0,446.0,390.6038513183594,1431
1996-05-10,448.0,450.0,448.0,448.0,392.3554382324219,925
1996-05-13,448.0,448.0,448.0,448.0,392.3554382324219,444
1996-05-14,452.0,458.0,452.0,458.0,401.1133728027344,1588
1996-05-15,462.0,466.0,462.0,464.0,406.3681335449219,1613
1996-05-16,462.0,464.0,462.0,462.0,404.61651611328125,381
1996-05-17,466.0,470.0,466.0,468.0,409.8713073730469,3269
1996-05-20,472.0,476.0,472.0,476.0,416.8776550292969,306
1996-05-21,472.0,472.0,470.0,472.0,413.3744812011719,2056
1996-05-22,464.0,464.0,458.0,458.0,401.1133728027344,481
1996-05-23,462.0,464.0,462.0,462.0,404.61651611328125,1325
1996-05-24,448.0,450.0,446.0,450.0,396.966552734375,137256
1996-05-28,450.0,450.0,446.0,446.0,393.43798828125,3356
1996-05-29,446.0,446.0,444.0,444.0,391.6736755371094,200
1996-05-30,444.0,446.5,442.0,444.0,391.6736755371094,7225
1996-05-31,448.0,450.0,446.0,448.0,395.2022705078125,3500
1996-06-03,452.0,452.0,448.0,450.0,396.966552734375,5281
1996-06-04,452.0,454.0,452.0,452.0,398.7308654785156,513
1996-06-05,456.0,458.0,456.0,458.0,404.02374267578125,500
1996-06-06,458.0,458.0,456.0,456.0,402.2594299316406,169
1996-06-07,452.0,452.0,448.0,450.0,396.966552734375,256
1996-06-10,454.0,456.0,452.0,452.0,398.7308654785156,656
1996-06-11,454.0,454.0,450.0,450.0,396.966552734375,488
1996-06-12,450.0,450.0,450.0,450.0,396.966552734375,606
1996-06-13,450.0,450.0,450.0,450.0,396.966552734375,6
1996-06-14,448.0,448.0,444.0,444.0,391.6736755371094,169
1996-06-17,446.0,446.0,442.0,442.0,389.9093322753906,7638
1996-06-18,448.0,448.0,446.0,446.0,393.43798828125,619
1996-06-19,444.0,448.0,442.0,442.0,389.9093322753906,106
1996-06-20,444.0,448.0,444.0,444.0,391.6736755371094,188
1996-06-21,444.0,444.0,442.0,442.0,389.9093322753906,138
1996-06-24,440.0,442.0,440.0,442.0,389.9093322753906,1588
1996-06-25,440.0,440.0,440.0,440.0,388.14508056640625,25
1996-06-26,440.0,440.0,438.0,438.0,386.38079833984375,69
1996-06-27,436.0,440.0,436.0,440.0,388.14508056640625,169
1996-06-28,438.0,444.0,438.0,444.0,391.6736755371094,988
1996-07-01,446.0,446.0,440.0,442.0,389.9093322753906,150
1996-07-02,446.0,446.0,442.0,442.0,389.9093322753906,88
1996-07-03,440.0,440.0,440.0,440.0,388.14508056640625,38
